workout_5605,workout_5606,workout_5607
484.0,19.0,253.0
608.0,21.0,275.0
664.0,26.0,255.0
511.0,20.0,255.0
498.0,25.0,230.0
610.0,24.0,255.0
511.0,24.0,235.0
423.0,22.0,225.0
601.0,22.0,265.0
543.0,20.0,265.0
528.0,24.0,240.0
403.0,23.0,215.0
574.0,21.0,265.0
874.0,28.0,275.0
430.0,22.0,225.0
746.0,29.0,255.0
454.0,23.0,225.0
512.0,26.0,225.0
587.0,25.0,245.0
431.0,20.0,235.0
485.0,24.0,227.0
599.0,30.0,225.0
449.0,19.0,245.0
415.0,23.0,216.0
387.0,19.0,227.5
551.0,23.0,245.0
547.0,21.0,255.0
683.0,24.0,265.0
550.0,25.0,236.0
465.0,23.0,225.0
469.0,20.0,240.0
524.0,22.0,245.0
757.0,25.0,275.0
446.0,22.0,225.0
512.0,23.0,235.0
462.0,19.0,245.0
514.0,23.0,235.0
612.0,25.0,245.0
539.0,23.0,240.0
444.0,21.0,227.0
661.0,26.0,247.0
517.0,23.0,235.0
654.0,20.0,277.0
479.0,23.0,225.0
418.0,24.0,205.0
589.0,28.0,228.0
626.0,23.0,255.0
462.0,24.0,222.66
518.0,23.0,235.0
540.0,24.0,235.0
472.0,19.0,242.0
681.0,22.0,270.0
480.0,21.0,235.0
796.0,22.0,307.0
459.0,22.0,225.0
798.0,23.0,287.0
504.0,22.0,235.0
548.0,23.0,240.0
550.0,23.0,240.0
705.0,22.0,275.0
720.0,26.0,255.0
465.0,22.0,225.0
590.0,18.0,275.0
628.0,27.0,235.0
489.0,20.0,237.0
710.0,25.0,255.0
493.0,19.0,245.0
612.0,24.0,245.0
510.0,22.0,235.0
657.0,25.0,247.0
576.0,25.0,235.0
678.0,24.0,255.0
543.0,28.0,215.0
662.0,22.0,265.0
594.0,23.0,245.0
496.0,23.0,225.0
505.0,17.0,251.0
643.0,25.0,245.0
595.0,23.0,245.0
681.0,26.0,245.0
564.0,23.0,240.0
537.0,23.0,235.0
503.0,23.0,225.0
640.0,21.0,265.0
558.0,26.0,225.0
609.0,22.0,253.0
479.0,22.0,225.0
672.0,21.0,267.5
655.0,22.0,260.0
566.0,20.0,255.0
536.0,24.0,232.0
604.0,25.0,237.0
467.0,23.0,220.0
558.0,25.0,232.0
689.0,26.0,245.0
481.0,22.0,225.0
569.0,24.0,235.0
544.0,22.0,240.0
533.0,18.0,255.0
696.0,26.0,245.0
573.0,24.0,235.0
604.0,21.0,255.0
479.0,22.0,225.0
385.0,25.0,155.0
486.0,20.0,235.0
578.0,23.0,240.0
508.0,21.0,235.0
712.0,21.0,275.0
632.0,26.0,235.0
491.0,22.0,225.0
531.0,20.0,245.0
463.0,21.0,225.0
709.0,21.0,270.0
803.0,29.0,245.0
557.0,23.0,235.0
474.0,20.0,230.0
531.0,24.0,225.0
611.0,25.0,235.0
778.0,30.0,242.51
720.0,23.0,260.0
655.0,24.0,245.0
594.0,22.0,245.0
536.0,21.0,237.0
717.0,22.0,265.0
499.0,22.0,225.0
642.0,20.0,262.0
523.0,23.0,225.0
463.0,22.0,215.0
524.0,23.0,225.0
550.0,20.0,245.0
508.0,22.0,225.0
419.0,20.0,215.0
503.0,17.0,245.0
438.0,22.0,205.0
579.0,21.0,245.0
550.0,22.0,235.0
483.0,21.0,225.0
498.0,23.0,220.0
584.0,25.0,226.0
557.0,20.0,245.0
451.0,17.0,230.0
556.0,24.0,225.0
480.0,15.0,245.0
611.0,26.0,225.0
618.0,22.0,245.0
670.0,20.0,265.0
767.0,23.0,265.0
654.0,21.0,255.0
391.0,18.0,215.0
796.0,27.0,246.0
541.0,23.0,225.0
456.0,21.0,215.0
564.0,21.0,237.0
516.0,17.0,245.0
498.0,20.0,226.0
654.0,27.0,225.0
720.0,25.0,245.0
516.0,18.0,236.99
480.0,17.0,235.0
552.0,23.0,225.0
149.0,17.0,205.0
498.0,18.0,235.0
481.0,21.0,222.0
574.0,21.0,235.0
557.0,23.0,225.0
489.0,20.0,225.0
588.0,21.0,240.0
690.0,23.0,245.0
720.0,22.0,255.0
556.0,20.0,237.0
697.0,23.0,245.0
508.0,18.0,235.0
517.0,23.0,215.0
591.0,22.0,235.0
453.0,21.0,212.0
426.0,20.0,205.0
610.0,27.0,215.0
541.0,21.0,230.0
511.0,18.0,235.0
629.0,21.0,245.0
572.0,19.0,245.0
630.0,21.0,245.0
597.0,24.0,225.0
589.0,26.0,215.0
602.0,20.0,245.0
594.0,23.0,229.0
784.0,27.0,243.0
694.0,25.0,235.0
546.0,22.0,225.0
659.0,26.0,225.0
614.0,21.0,242.0
886.0,27.0,247.0
421.0,23.0,165.0
630.0,25.0,225.0
419.0,16.0,220.0
618.0,24.0,227.0
522.0,21.0,225.0
667.0,26.0,225.0
645.0,21.0,245.0
668.0,26.0,225.0
647.0,21.0,245.0
581.0,20.0,237.0
412.0,18.0,205.0
556.0,21.0,229.0
477.0,20.0,215.0
690.0,20.0,255.0
780.0,24.0,247.0
484.0,18.0,225.0
541.0,23.0,215.0
603.0,19.0,245.0
602.0,21.0,235.0
559.0,18.0,237.0
546.0,23.0,215.0
519.0,20.0,225.0
517.0,21.0,222.0
328.0,13.0,210.0
670.0,21.0,245.0
327.0,19.0,137.0
720.0,21.0,255.0
666.0,25.0,225.0
610.0,21.0,235.0
373.0,27.0,245.0
642.0,24.0,225.0
615.0,22.0,230.0
912.0,25.0,250.0
588.0,20.0,235.0
720.0,24.0,235.0
498.0,20.0,215.0
720.0,20.0,255.0
602.0,19.0,240.0
403.0,19.0,185.0
627.0,23.0,225.0
797.0,23.0,247.0
556.0,19.0,231.0
703.0,19.0,255.0
542.0,19.0,227.0
608.0,15.0,255.0
720.0,26.0,225.0
740.0,25.0,235.0
720.0,26.0,230.0
630.0,21.0,235.0
547.0,22.0,215.0
495.0,17.0,225.0
720.0,24.0,235.0
587.0,20.0,232.0
543.0,20.0,225.0
569.0,21.0,225.0
603.0,18.0,240.0
606.0,22.0,225.0
810.0,20.0,265.0
830.0,22.0,255.0
514.0,20.0,215.0
917.0,23.0,255.0
702.0,16.0,260.0
723.0,24.0,235.0
596.0,23.0,217.0
590.0,19.0,235.0
616.0,22.0,225.0
668.0,26.0,215.0
454.0,15.0,216.0
725.0,24.0,235.0
688.0,20.0,245.0
535.0,19.0,225.0
492.0,17.0,220.0
685.0,24.0,225.0
809.0,23.0,245.0
620.0,20.0,235.0
769.0,21.0,250.0
719.0,18.0,255.0
454.0,19.0,198.0
470.0,18.0,205.0
548.0,21.0,215.0
736.0,28.0,215.0
440.0,16.0,205.0
720.0,21.0,245.0
816.0,19.0,265.0
476.0,20.0,195.0
718.0,24.0,225.0
609.0,21.0,225.0
688.0,23.0,225.0
720.0,19.0,249.12
476.0,17.0,210.0
539.0,15.0,232.0
703.0,23.0,225.0
881.0,23.0,245.0
709.0,20.0,240.0
540.0,19.0,216.0
758.0,23.0,235.0
605.0,22.0,215.0
573.0,19.0,225.0
814.0,24.0,235.0
486.0,16.0,215.0
487.0,16.0,215.0
710.0,21.0,235.0
602.0,20.0,225.0
552.0,20.0,215.0
576.0,16.0,235.0
431.0,14.0,205.0
578.0,16.0,235.0
763.0,25.0,225.0
643.0,23.0,215.0
701.0,16.0,250.0
637.0,21.0,225.0
510.0,18.0,210.0
522.0,18.0,215.0
611.0,20.0,225.0
606.0,14.0,245.0
720.0,25.0,215.0
921.0,27.0,225.0
494.0,13.0,225.0
685.0,17.0,245.0
532.0,16.0,225.0
602.0,17.0,230.0
619.0,17.0,235.0
654.0,21.0,225.0
535.0,16.0,225.0
720.0,21.0,235.0
537.0,16.0,225.0
774.0,18.0,251.0
582.0,18.0,225.0
806.0,22.0,237.0
584.0,18.0,225.0
628.0,18.0,230.0
720.0,21.0,235.0
566.0,15.0,229.4
704.0,17.0,245.0
340.0,35.0,195.0
365.0,19.0,265.0
524.0,17.0,215.0
560.0,22.0,198.0
585.0,20.0,215.0
780.0,23.0,231.0
562.0,23.0,185.0
711.0,17.0,245.0
720.0,22.0,225.0
641.0,20.0,225.0
935.0,20.0,255.0
528.0,17.0,215.0
720.0,20.0,237.0
458.0,14.0,205.0
731.0,19.0,245.0
530.0,17.0,215.0
619.0,21.0,215.0
623.0,25.0,185.0
646.0,20.0,225.0
565.0,18.0,216.0
779.0,17.0,255.0
531.0,17.0,215.0
720.0,22.0,225.0
523.0,18.0,205.0
720.0,18.0,245.0
720.0,18.0,240.0
464.0,16.0,195.0
598.0,19.0,220.0
808.0,21.0,240.0
720.0,20.0,235.0
587.0,21.0,205.0
592.0,21.0,207.0
578.0,18.0,218.26
683.0,18.0,235.0
454.0,13.0,205.0
526.0,14.0,225.0
403.0,12.0,185.0
668.0,22.0,215.0
662.0,20.0,225.0
662.0,17.0,235.0
401.0,11.0,185.0
720.0,17.0,245.0
706.0,18.0,235.0
651.0,21.0,215.0
560.0,19.0,205.0
677.0,20.0,225.0
490.0,16.0,200.0
514.0,16.0,205.0
507.0,14.0,210.4
718.0,18.0,235.0
720.0,21.0,225.0
709.0,15.0,245.0
720.0,16.0,245.0
765.0,19.0,237.0
750.0,18.0,238.0
744.0,21.0,227.0
638.0,20.0,215.0
623.0,17.0,225.0
671.0,21.0,215.0
597.0,16.0,225.0
646.0,7.0,319.1
575.0,17.0,215.0
653.0,18.0,225.0
654.0,18.0,225.0
760.0,14.0,255.0
565.0,18.0,205.0
681.0,19.0,225.0
529.0,11.0,225.0
720.0,19.0,230.0
1008.0,20.0,245.0
789.0,20.0,235.0
720.0,22.0,215.0
819.0,29.0,185.0
670.0,16.0,231.0
867.0,23.0,225.0
712.0,18.0,227.0
633.0,19.0,215.0
636.0,19.0,215.0
647.0,21.0,205.0
693.0,16.0,235.0
644.0,17.0,225.0
812.0,21.0,230.0
708.0,21.0,215.0
582.0,20.0,195.0
772.0,19.0,235.0
589.0,21.0,185.0
685.0,18.0,225.0
718.0,21.0,215.0
823.0,18.0,240.0
760.0,18.0,235.0
459.0,9.0,195.0
840.0,20.0,235.0
613.0,17.0,215.0
638.0,18.0,215.0
720.0,19.0,225.0
477.0,8.0,205.0
664.0,20.0,245.0
648.0,16.0,225.0
627.0,17.0,215.0
1460.0,19.0,242.0
720.0,22.0,205.0
753.0,20.0,225.0
629.0,17.0,215.0
640.0,19.0,205.0
616.0,18.0,205.0
685.0,19.0,215.0
599.0,13.0,225.0
707.0,15.0,230.0
720.0,20.0,220.0
380.0,22.0,228.0
610.0,16.0,215.0
511.0,21.0,235.0
892.0,15.0,250.0
811.0,18.0,235.0
720.0,15.0,235.0
603.0,17.0,205.0
674.0,12.0,235.0
651.0,15.0,225.0
711.0,17.0,225.0
275.0,21.0,230.0
713.0,17.0,225.0
934.0,17.0,245.0
661.0,19.0,205.0
820.0,16.0,240.0
720.0,20.0,215.0
607.0,13.0,220.0
720.0,15.0,235.0
659.0,15.0,225.0
720.0,18.0,225.0
671.0,19.0,205.0
740.0,20.0,217.0
720.0,15.0,229.0
678.0,19.0,205.0
720.0,17.0,225.0
518.0,10.0,205.0
626.0,20.0,185.0
565.0,14.0,205.0
627.0,16.0,210.0
680.0,15.0,225.0
809.0,18.0,226.0
709.0,16.0,225.0
720.0,13.0,235.0
660.0,18.0,205.0
572.0,14.0,205.0
754.0,18.0,225.0
742.0,20.0,215.0
688.0,15.0,225.0
510.0,12.0,185.0
837.0,17.0,235.0
720.0,17.0,225.0
622.0,16.0,205.0
638.0,15.0,215.0
692.0,17.0,215.0
691.0,18.0,215.0
721.0,18.0,220.0
813.0,16.0,235.0
769.0,20.0,215.0
340.0,21.0,225.0
783.0,15.0,235.0
939.0,16.0,240.0
720.0,18.0,245.0
577.0,15.0,195.0
830.0,16.0,235.0
890.0,20.0,225.0
878.0,14.0,245.0
663.0,20.0,185.0
642.0,16.0,205.0
763.0,17.0,225.0
558.0,15.0,185.0
640.0,14.0,215.0
545.0,14.0,185.0
720.0,18.0,215.0
762.0,19.0,215.0
673.0,17.0,205.0
722.0,20.0,205.0
723.0,17.0,220.0
773.0,18.0,220.0
779.0,17.0,225.0
795.0,15.0,230.0
782.0,14.0,235.0
