Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
JENNIFER MARSH,643.0,22.0,155.0,154.0,150.0,1940.0,93.0
SUELLEN CENCI,576.0,21.0,155.0,127.0,150.0,1995.0,110.0
ASHLEY CAPPARELLI,791.0,21.0,175.0,161.0,156.0,1863.0,116.0
ANSLEY  TUCKER ,530.0,20.0,155.0,170.0,150.0,1852.0,91.0
SARA VALERA GIL,659.0,23.0,159.0,123.0,159.0,1876.0,139.0
SHEA  LITT,606.0,21.0,150.0,185.0,120.0,1860.0,142.0
MISTY BRYAN,837.0,22.0,170.0,144.0,150.0,2071.0,71.0
CASEY BLOWE,802.0,26.0,185.0,153.0,92.0,1972.0,71.0
DANIELLE DRESSEL,679.0,20.0,155.0,149.0,150.0,1974.0,141.0
AMBER BOST,793.0,22.0,165.0,163.0,150.0,1888.0,118.0
JALISA CHARLES,570.0,21.0,155.0,154.0,120.0,1845.0,188.0
BRYLIE BUTTON,681.0,17.0,165.0,138.0,160.0,1951.0,92.0
ELISE MULLINS,670.0,20.0,165.0,146.0,153.0,1886.0,93.0
CLAIRE MICHKOVITS,713.0,15.0,135.0,166.0,150.0,2038.0,216.0
CORINNE COOK,487.0,44.0,131.0,142.0,90.0,1961.0,43.0
JESSICA NEWHOF,690.0,19.0,157.0,158.0,150.0,1928.0,161.0
ABBI LEE RANDOLPH,812.0,25.0,157.0,127.0,150.0,2062.0,114.0
CHRISTINE HUSNI,720.0,23.0,165.0,146.0,122.0,1927.0,138.0
ERIN HOLLY,310.0,7.0,125.0,152.0,337.0,1883.0,120.0
KATIE HOFMAN,765.0,15.0,145.0,152.0,165.0,2059.0,118.0
BRITTNEY THOMPSON,641.0,21.0,160.0,137.0,150.0,1855.0,165.0
TAYLOR  MAFFEO ,612.0,16.0,152.0,166.0,155.0,1840.0,112.0
ESTEFANIA  NUNEZ ,740.0,23.0,155.0,152.0,219.0,1732.0,117.0
BIANCA RODRIGUEZ,720.0,23.0,175.0,150.0,150.0,1854.0,88.0
HALEY JOHNSON,486.0,13.0,145.0,175.0,150.0,1863.0,119.0
MANON CONTANDIN,782.0,20.0,165.3,150.0,150.0,1975.0,112.0
ALYSSA GARRISON,809.0,18.0,155.0,182.0,150.0,1923.0,119.0
RACHAEL PARTRIDGE,885.0,24.0,155.0,128.0,93.0,2189.0,192.0
RACHEL BRUNSELL,627.0,19.0,155.0,154.0,150.0,1901.0,115.0
MELISSA MEJIA,720.0,23.0,155.0,151.0,91.0,2044.0,68.0
TRACEY BUCKINGHAM,343.0,0.0,105.0,149.0,231.0,1800.0,304.0
ISABELLA DAMACENA,495.0,19.0,165.0,127.0,150.0,1631.0,94.0
NATALIE HERBIG,919.0,16.0,155.0,192.0,150.0,1991.0,136.0
LEXI CAMPBELL,763.0,22.0,155.0,151.0,110.0,2048.0,94.0
STEPHANIE OATES,718.0,18.0,150.0,165.0,154.0,1946.0,68.0
KELLY CAMPS,789.0,22.0,155.0,145.0,150.0,1899.0,178.0
ORIANA CARRAVETTA,743.0,20.0,145.0,183.0,150.0,1927.0,88.0
AIMEE WILLIAMS,795.0,24.0,155.0,182.0,92.0,1970.0,75.0
SAMANTHA SAXON,870.0,25.0,175.0,136.0,106.0,1964.0,112.0
